folder,beta,Pe,h0_slope,h0_intercept,h0_r2,h0_fit_points,h0_log_time_start,h0_log_time_end,h0_curvature,x0_slope,x0_intercept,x0_r2,x0_fit_points,x0_log_time_start,x0_log_time_end,x0_curvature
beta_0.05_Pe_1,0.05,1.0,0.9457555420636566,-5.374725931158298,0.9998998204956854,34,-0.3566749439387323,1.3862943611198906,0.010211436765096948,7.0097352399708534e-15,-7.195437351433884,1.0,15,-0.3566749439387323,0.7419373447293773,6.217248937900877e-15
beta_0.05_Pe_10,0.05,10.0,0.9469761755729718,-5.376027276629226,0.9998917626122137,36,-0.5108256237659905,1.4109869737102623,0.011504899033997873,0.5795625454334802,-7.126871808231833,0.4705873797857709,15,-0.5108256237659905,0.6931471805599453,0.34096204293067967
beta_0.05_Pe_100,0.05,100.0,0.9474501664297901,-5.375144737684617,0.9998909002070577,36,-0.5108256237659905,1.4109869737102623,0.01155833785835636,3.4657956439958975,-16.666243736566848,0.9996810183957751,47,4.273884476054178,4.335982696172475,0.0023705767331358985
beta_0.05_Pe_1000,0.05,1000.0,0.923175253637911,-5.353177086988457,0.999909900026392,28,0.47000362924573563,1.4586150226995167,0.005557969020439479,1.9347189555351885,-9.48980725586962,0.999969395624988,31,4.189654742026425,4.23410650459726,0.0002935491340123608
beta_0.05_Pe_10000,0.05,10000.0,0.9346166684952498,-5.392894945595523,0.999878070389734,37,-0.6931471805599453,1.4109869737102623,0.013649480703332273,1.584044798536679,-8.01225592518591,0.9999699943169947,69,4.517431271680085,4.589040804058207,0.00040085669659839507
beta_0.15_Pe_1,0.15,1.0,0.9481423245536892,-5.429567027556373,0.9998740733023936,47,-1.203972804325936,1.589235205116581,0.014652676854184588,0.889947365461047,-6.392625005041599,0.9350488724877087,22,-1.203972804325936,0.8754687373539001,0.3482044283117425
beta_0.15_Pe_10,0.15,10.0,0.9474816969054206,-5.427500176951089,0.9998815109007347,51,-1.6094379124341003,1.6486586255873816,0.016157500962142635,4.647274243464375,-22.927889149672023,0.9990638699705447,27,4.531523645819793,4.5591262474866845,0.002290607536061362
beta_0.15_Pe_100,0.15,100.0,0.9527483571984529,-5.419699826702905,0.9998904929332473,48,-1.6094379124341003,1.589235205116581,0.014921856525840216,2.505218270675551,-11.799800319165394,0.9999110987939184,26,3.955082494888593,4.001863709427935,0.0006770524333938877
beta_0.15_Pe_1000,0.15,1000.0,0.9522726986884444,-5.417811064053589,0.9999632326500983,15,-1.203972804325936,0.8329091229351041,0.0070300147942230495,0.9586520567941802,-6.739481254961213,0.6893239515185351,26,-1.203972804325936,1.2237754316221159,0.9065260423498218
beta_0.15_Pe_10000,0.15,10000.0,0.8767154374995103,-5.52557454069928,0.99982975026702,38,-1.203972804325936,1.3862943611198906,0.020413872020407453,1.293561975052706,-5.752021751766615,0.9775283888791659,15,-1.203972804325936,0.5306282510621705,0.25813675082164345
beta_0.1_Pe_1,0.1,1.0,0.9478010711659636,-5.403322372339645,0.9998706710045999,43,-0.916290731874155,1.5260563034950494,0.01397064994217967,0.7326947887918275,-6.8018984304623835,0.7302771310213981,15,-0.916290731874155,0.5877866649021191,0.3935389209714968
beta_0.1_Pe_10,0.1,10.0,0.9484030282552022,-5.4036605636873665,0.9998741908764519,46,-1.203972804325936,1.5686159179138455,0.014577533009771937,0.7978759311731323,-6.5795708708192615,0.8002706987955046,15,-1.203972804325936,0.5306282510621705,0.43782561182451385
beta_0.1_Pe_100,0.1,100.0,0.9507944721034356,-5.400256588683354,0.9998771154309495,45,-1.203972804325936,1.547562508716013,0.014494085490878383,2.7741071035246225,-13.189220029509341,0.9998197457374228,96,4.089332020398556,4.237000862623624,0.0036599601792681735
beta_0.1_Pe_1000,0.1,1000.0,0.9208870881707102,-5.376928991492319,0.9998973654236692,25,0.336472236621213,1.3350010667323402,0.0059173121285951424,1.4719128146364795,-7.312089565239472,0.999993965322269,30,4.28771595520264,4.3267781604434035,8.645507383198137e-05
beta_0.1_Pe_10000,0.1,10000.0,0.9089164627449742,-5.454995631394552,0.9998512724446619,42,-1.203972804325936,1.4816045409242156,0.016464168202129592,1.252027843415596,-5.998129071969948,0.9506329883476721,15,-1.203972804325936,0.5306282510621705,0.32946870981786347
beta_0.2_Pe_1,0.2,1.0,0.9469140435573437,-5.45481868915947,0.9998865264643945,51,-1.6094379124341003,1.6486586255873816,0.015659801589512412,0.9013507623766427,-6.135629747369178,0.9248842887568045,19,-1.6094379124341003,0.6931471805599453,0.4350388644277752
beta_0.2_Pe_10,0.2,10.0,0.9486660661412896,-5.452453684658884,0.9998845134690846,53,-1.6094379124341003,1.6863989535702288,0.015551695022641088,3.91163772960631,-19.41548510365181,0.9997030994808563,36,4.5031374604229395,4.541164856012179,0.0020919242107309
beta_0.2_Pe_100,0.2,100.0,0.9578807482413841,-5.438465077745553,0.9999010966222174,47,-1.6094379124341003,1.5686159179138455,0.014438102886538129,2.3199629741228835,-10.882236956725386,0.999647239690052,36,3.8815637979434374,3.9512437185814275,0.002061266165599873
beta_0.2_Pe_1000,0.2,1000.0,0.9469647483237865,-5.433685496686528,0.9999536719272953,15,-1.6094379124341003,0.7419373447293773,0.007476878262833608,0.45821528418683843,-6.79894599049884,0.48231539787329103,15,-1.6094379124341003,0.7419373447293773,0.6498359689208506
beta_0.2_Pe_10000,0.2,10000.0,0.8411004520324706,-5.602178127882007,0.9997760419184925,32,-1.203972804325936,1.2237754316221159,0.023214776288220662,1.3773717588543326,-5.606168362888556,0.9750388619842507,15,-1.203972804325936,0.5306282510621705,0.32719601156189615
